ingestion_ts_utc,city,latitude,longitude,temperature_2m,relative_humidity_2m,wind_speed_10m,weather_code,source,ingestion_date,ingestion_hour_utc,run_id
2026-04-07 14:05:52.264308+00:00,Buenos Aires,-34.61315,-58.37723,18.9,91,17.1,3,open-meteo,2026-04-07,14:05:52,20260407T140556Z
2026-04-07 14:05:54.354495+00:00,Cordoba,-31.40648,-64.18853,15.5,77,10.1,3,open-meteo,2026-04-07,14:05:54,20260407T140556Z
2026-04-07 14:05:56.582255+00:00,Rosario,-32.94682,-60.63932,17.1,92,20.3,3,open-meteo,2026-04-07,14:05:56,20260407T140556Z
